rank,citedby,docsource,url,title
1,523761,Central Government Act,https://indiankanoon.org/doc/1712542/,Article 226 in The Constitution Of India   1949
2,449752,Central Government Act,https://indiankanoon.org/doc/37788/,Section 34 in The Indian Penal Code
3,310867,Central Government Act,https://indiankanoon.org/doc/1011035/,Section 323 in The Indian Penal Code
4,276519,Central Government Act,https://indiankanoon.org/doc/1290514/,"Section 439 in The Code Of Criminal Procedure,   1973"
5,262572,Central Government Act,https://indiankanoon.org/doc/1679850/,"Section 482 in The Code Of Criminal Procedure,   1973"
6,238018,Central Government Act,https://indiankanoon.org/doc/180217/,Section 506 in The Indian Penal Code
7,224212,Central Government Act,https://indiankanoon.org/doc/1560742/,Section 302 in The Indian Penal Code
8,223675,Central Government Act,https://indiankanoon.org/doc/1436241/,Section 420 in The Indian Penal Code
9,204302,Central Government Act,https://indiankanoon.org/doc/455468/,Section 307 in The Indian Penal Code
10,159983,Central Government Act,https://indiankanoon.org/doc/1897847/,Section 120B in The Indian Penal Code
11,158237,Central Government Act,https://indiankanoon.org/doc/1783708/,"Section 438 in The Code Of Criminal Procedure,   1973"
12,152771,Central Government Act,https://indiankanoon.org/doc/1599401/,Section 341 in The Indian Penal Code
13,150879,Central Government Act,https://indiankanoon.org/doc/555306/,Section 504 in The Indian Penal Code
14,147887,Central Government Act,https://indiankanoon.org/doc/538436/,Section 498A in The Indian Penal Code
15,145845,Central Government Act,https://indiankanoon.org/doc/999134/,Section 149 in The Indian Penal Code
16,139031,Central Government Act,https://indiankanoon.org/doc/1331149/,Article 227 in The Constitution Of India   1949
17,126355,Central Government Act,https://indiankanoon.org/doc/763672/,Section 148 in The Indian Penal Code
18,125432,Central Government Act,https://indiankanoon.org/doc/988620/,Section 406 in The Indian Penal Code
19,123903,Central Government Act,https://indiankanoon.org/doc/1258372/,Section 147 in The Indian Penal Code
20,122098,Central Government Act,https://indiankanoon.org/doc/1101188/,Section 379 in The Indian Penal Code
21,110766,Central Government Act,https://indiankanoon.org/doc/556166/,Section 468 in The Indian Penal Code
22,106684,Central Government Act,https://indiankanoon.org/doc/1279834/,Section 376 in The Indian Penal Code
23,103955,Central Government Act,https://indiankanoon.org/doc/724142/,Section 324 in The Indian Penal Code
24,98396,Central Government Act,https://indiankanoon.org/doc/1466184/,Section 471 in The Indian Penal Code
25,94828,Central Government Act,https://indiankanoon.org/doc/1985627/,Section 467 in The Indian Penal Code
26,89120,Central Government Act,https://indiankanoon.org/doc/1823824/,"Section 138 in The Negotiable Instruments Act, 1881"
27,83164,Central Government Act,https://indiankanoon.org/doc/767287/,"Section 313 in The Code Of Criminal Procedure,   1973"
28,67900,Central Government Act,https://indiankanoon.org/doc/386021/,Section 201 in The Indian Penal Code
29,63967,Central Government Act,https://indiankanoon.org/doc/619940/,Section 363 in The Indian Penal Code
30,61632,Central Government Act,https://indiankanoon.org/doc/244673/,Section 27 in Arms Act
31,60025,Central Government Act,https://indiankanoon.org/doc/222396/,Section 427 in The Indian Penal Code
32,60018,Central Government Act,https://indiankanoon.org/doc/203036/,Section 354 in The Indian Penal Code
33,58581,Central Government Act,https://indiankanoon.org/doc/100581/,"Section 5 in The Limitation Act, 1963"
34,57920,Central Government Act,https://indiankanoon.org/doc/1133601/,Section 325 in The Indian Penal Code
35,56609,Central Government Act,https://indiankanoon.org/doc/796352/,Section 366 in The Indian Penal Code
36,54245,Central Government Act,https://indiankanoon.org/doc/367586/,Article 14 in The Constitution Of India   1949
37,52454,Central Government Act,https://indiankanoon.org/doc/1540253/,Section 326 in The Indian Penal Code
38,52274,Central Government Act,https://indiankanoon.org/doc/1199182/,Article 21 in The Constitution Of India   1949
39,50981,Central Government Act,https://indiankanoon.org/doc/838469/,Section 452 in The Indian Penal Code
40,50377,Central Government Act,https://indiankanoon.org/doc/497457/,"Section 164 in The Code Of Criminal Procedure,   1973"
41,48607,Central Government Act,https://indiankanoon.org/doc/73862/,Section 25 in Arms Act
42,47085,Central Government Act,https://indiankanoon.org/doc/409589/,Section 304 in The Indian Penal Code
43,44374,Central Government Act,https://indiankanoon.org/doc/653797/,Section 304B in The Indian Penal Code
44,40254,Central Government Act,https://indiankanoon.org/doc/1023340/,"Section 4 in the Dowry Prohibition Act, 1961"
45,39649,Central Government Act,https://indiankanoon.org/doc/812083/,Section 411 in The Indian Penal Code
46,37510,Central Government Act,https://indiankanoon.org/doc/1326844/,Section 409 in The Indian Penal Code
47,37406,Central Government Act,https://indiankanoon.org/doc/1208971/,Section 353 in The Indian Penal Code
48,37291,Central Government Act,https://indiankanoon.org/doc/1128948/,Section 120 in The Indian Penal Code
49,36907,Central Government Act,https://indiankanoon.org/doc/92983/,Section 306 in The Indian Penal Code
50,34620,Central Government Act,https://indiankanoon.org/doc/1270101/,Section 279 in The Indian Penal Code
51,33926,Central Government Act,https://indiankanoon.org/doc/839778/,Section 380 in The Indian Penal Code
52,33882,Central Government Act,https://indiankanoon.org/doc/1144664/,Section 438 in The Indian Penal Code
